City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
506,arraial do cabo,-22.9661,-42.0278,24.59,89,12,10.57,BR,1677897534
507,urengoy,65.9667,78.3667,-17.87,97,99,4.15,RU,1677897534
508,qianan,44.9932,124.0581,7.3,26,6,4.16,CN,1677897535
509,nhamunda,-2.1861,-56.7131,23.08,98,44,1.35,BR,1677897535
510,suriapet,17.15,79.6167,25.72,38,36,2.59,IN,1677897535
511,dhuri,30.3667,75.8667,19.46,40,1,3.38,IN,1677897536
512,loikaw,19.6742,97.2094,27.29,24,0,1.56,MM,1677897536
513,meulaboh,4.1363,96.1285,26.34,78,73,0.66,ID,1677897536
514,karpogory,64.0019,44.4451,-28.03,100,100,1.14,RU,1677897537
515,lata,40.1629,-8.3327,3.93,75,100,1.2,PT,1677897537
516,kutum,14.2,24.6667,18.47,17,4,3.88,SD,1677897537
517,yamada,39.4667,141.95,8.07,45,17,1.17,JP,1677897538
518,tucumcari,35.1717,-103.725,13.3,24,0,4.63,US,1677897538
519,azul,-36.777,-59.8585,25.23,40,6,3.4,AR,1677897538
520,batagay-alyta,67.8006,130.4114,-24.27,94,100,2.03,RU,1677897539
521,roma,43.2128,-75.4557,0.4,92,100,5.66,US,1677897539
522,puerto escondido,15.85,-97.0667,26.46,73,20,1.54,MX,1677897480
523,krasnogorsk,55.8225,37.3181,-2.81,93,100,3.0,RU,1677897540
524,ponta delgada,37.7333,-25.6667,13.4,71,40,3.6,PT,1677897540
525,evensk,61.95,159.2333,-24.26,77,4,1.55,RU,1677897541
526,sal rei,16.1833,-22.9167,20.72,78,100,7.33,CV,1677897541
527,yerofey pavlovich,53.9667,121.9667,-1.71,86,89,2.41,RU,1677897542
528,russell,32.3502,-85.1999,23.6,80,90,2.43,US,1677897542
529,honiara,-9.4333,159.95,30.18,63,76,5.2,SB,1677897543
530,nerang,-27.9833,153.3333,30.77,60,22,3.58,AU,1677897543
531,luang prabang,19.8856,102.1347,17.98,82,20,0.0,LA,1677897544
532,viedma,-40.8135,-62.9967,17.26,57,11,5.61,AR,1677897544
533,teahupoo,-17.8333,-149.2667,22.98,76,96,2.63,PF,1677897544
534,saldanha,-33.0117,17.9442,17.03,92,90,3.47,ZA,1677897545
535,bell ville,-32.6259,-62.6887,23.15,48,0,3.3,AR,1677897482
536,tosya,41.0155,34.0401,5.81,83,94,1.56,TR,1677897546
537,fethiye,36.6217,29.1164,7.93,48,79,2.48,TR,1677897547
538,green river,41.5286,-109.4662,-6.56,86,97,3.79,US,1677897547
539,egvekinot,66.3167,-179.1667,-27.34,88,95,2.31,RU,1677897283
540,fort nelson,58.8053,-122.7002,-12.23,73,100,3.6,CA,1677897428
541,yining,29.0361,114.5636,19.52,39,0,0.38,CN,1677897548
542,van buren,35.4368,-94.3483,7.01,88,0,0.45,US,1677897548
543,itaituba,-4.2761,-55.9836,23.18,99,84,1.07,BR,1677897549
544,inhambane,-23.865,35.3833,24.16,90,20,5.62,MZ,1677897550
545,doha,25.2867,51.5333,17.99,74,0,1.03,QA,1677897550
546,rio gallegos,-51.6226,-69.2181,6.03,56,0,11.32,AR,1677897550
547,yatou,37.15,122.3833,10.6,55,14,4.95,CN,1677897551
548,kjopsvik,68.097,16.3742,-3.07,93,100,4.91,NO,1677897551
549,cambridge,43.3601,-80.3127,0.13,95,100,12.35,CA,1677897319
550,breaza,45.1833,25.6667,2.73,85,67,2.24,RO,1677897552
551,kidal,18.4411,1.4078,22.89,7,18,4.26,ML,1677897553
552,imeni poliny osipenko,52.4201,136.4853,-9.57,79,38,5.25,RU,1677897553
553,rocha,-34.4833,-54.3333,22.96,78,100,4.61,UY,1677897285
